Date;Price
23.10.2012;179,191
24.10.2012;180,103
25.10.2012;180,02
26.10.2012;179,937
29.10.2012;177,285
30.10.2012;178,694
31.10.2012;176,125
1.11.2012;188,143
2.11.2012;188,557
5.11.2012;187,562
6.11.2012;190,463
7.11.2012;185,49
8.11.2012;186,153
9.11.2012;185,905
12.11.2012;186,402
13.11.2012;188,889
14.11.2012;186,485
15.11.2012;186,651
16.11.2012;181,512
19.11.2012;185,573
20.11.2012;185,49
21.11.2012;185,656
22.11.2012;186,485
23.11.2012;187,894
26.11.2012;188,06
27.11.2012;187,562
28.11.2012;187,894
29.11.2012;193,53
30.11.2012;193,53
3.12.2012;192,618
4.12.2012;192,37
5.12.2012;194,276
6.12.2012;195,851
7.12.2012;194,856
10.12.2012;195,519
11.12.2012;196,182
12.12.2012;194,69
13.12.2012;196,762
14.12.2012;196,928
17.12.2012;196,182
18.12.2012;197,591
19.12.2012;199,829
20.12.2012;200,906
21.12.2012;198,751
24.12.2012;199,087
25.12.2012;199,087
26.12.2012;199,087
27.12.2012;199,423
28.12.2012;196,401
31.12.2012;193,967
1.1.2013;193,967
2.1.2013;199,087
3.1.2013;200,01
4.1.2013;203,787
7.1.2013;203,955
8.1.2013;205,718
9.1.2013;207,396
10.1.2013;206,725
11.1.2013;206,473
14.1.2013;204,207
15.1.2013;201,689
16.1.2013;202,444
17.1.2013;205,466
18.1.2013;206,473
21.1.2013;208,739
22.1.2013;209,579
23.1.2013;210,418
24.1.2013;209,159
25.1.2013;212,432
28.1.2013;211,593
29.1.2013;206,641
30.1.2013;209,831
31.1.2013;208,655
1.2.2013;222,252
4.2.2013;220,742
5.2.2013;225,694
6.2.2013;228,883
7.2.2013;224,099
8.2.2013;223,847
11.2.2013;224,183
12.2.2013;227,876
13.2.2013;231,569
14.2.2013;229,722
15.2.2013;231,065
18.2.2013;230,142
19.2.2013;232,408
20.2.2013;235,85
21.2.2013;229,974
22.2.2013;232,576
25.2.2013;228,044
26.2.2013;223,679
27.2.2013;226,617
28.2.2013;224,687
1.3.2013;225,358
4.3.2013;222,756
5.3.2013;225,358
6.3.2013;223,595
7.3.2013;221,581
8.3.2013;224,099
11.3.2013;227,037
12.3.2013;226,197
13.3.2013;223,092
14.3.2013;232,828
15.3.2013;228,547
18.3.2013;227,288
19.3.2013;226,533
20.3.2013;228,883
21.3.2013;223,511
22.3.2013;232,24
25.3.2013;235,682
26.3.2013;232,996
27.3.2013;230,394
28.3.2013;233,332
29.3.2013;233,332
1.4.2013;233,332
2.4.2013;236,437
3.4.2013;233,751
4.4.2013;229,639
5.4.2013;223,092
8.4.2013;223,008
9.4.2013;225,022
10.4.2013;232,492
11.4.2013;234,591
12.4.2013;233,499
15.4.2013;232,996
16.4.2013;230,31
17.4.2013;230,646
18.4.2013;231,653
19.4.2013;232,996
22.4.2013;232,156
23.4.2013;238,116
24.4.2013;238,619
25.4.2013;242,312
26.4.2013;239,878
29.4.2013;235,766
30.4.2013;231,821
1.5.2013;239,794
2.5.2013;234,255
3.5.2013;230,814
6.5.2013;230,814
7.5.2013;236,605
8.5.2013;236,941
9.5.2013;231,401
10.5.2013;259,77
13.5.2013;256,665
14.5.2013;261,449
15.5.2013;262,372
16.5.2013;265,478
17.5.2013;263,547
20.5.2013;270,43
21.5.2013;270,514
22.5.2013;269,842
23.5.2013;263,631
24.5.2013;258,259
27.5.2013;258,259
28.5.2013;262,372
29.5.2013;256,329
30.5.2013;254,65
31.5.2013;253,559
3.6.2013;247,013
4.6.2013;248,775
5.6.2013;246,845
6.6.2013;253,223
7.6.2013;262,54
10.6.2013;258,511
11.6.2013;255,993
12.6.2013;259,602
13.6.2013;258,259
14.6.2013;262,204
17.6.2013;261,869
18.6.2013;267,996
19.6.2013;263,295
20.6.2013;255,49
21.6.2013;258,008
24.6.2013;251,965
25.6.2013;255,909
26.6.2013;256,329
27.6.2013;259,351
28.6.2013;259,518
1.7.2013;266,485
2.7.2013;265,394
3.7.2013;266,737
4.7.2013;276,221
5.7.2013;276,389
8.7.2013;281,341
9.7.2013;280,334
10.7.2013;281,76
11.7.2013;283,187
12.7.2013;284,698
15.7.2013;288,727
16.7.2013;284,027
17.7.2013;280,334
18.7.2013;278,739
19.7.2013;283,775
22.7.2013;288,055
23.7.2013;285,286
24.7.2013;287,048
25.7.2013;280,669
26.7.2013;282,684
29.7.2013;282,516
30.7.2013;287,132
31.7.2013;285,957
1.8.2013;287,636
2.8.2013;285,034
5.8.2013;284,446
6.8.2013;284,194
7.8.2013;281,114
8.8.2013;279,402
9.8.2013;282,825
12.8.2013;281,542
13.8.2013;283,51
14.8.2013;279,146
15.8.2013;278,632
16.8.2013;278,803
19.8.2013;275,723
20.8.2013;280,857
21.8.2013;280,172
22.8.2013;282,825
23.8.2013;284,366
26.8.2013;284,366
27.8.2013;279,146
28.8.2013;276,407
29.8.2013;283,082
30.8.2013;278,375
2.9.2013;289,415
3.9.2013;289,158
4.9.2013;291,297
5.9.2013;293,094
6.9.2013;293,437
9.9.2013;293,522
10.9.2013;298,571
